date,qualitative_water_level
1975-04,2
1975-10,3
1976-04,3
1976-10,4
1977-04,4
1977-10,4
1978-04,4
1978-10,4
1979-04,4
1979-10,4
1980-04,4
1980-10,4
1981-04,4
1981-10,3
1982-04,3
1982-10,2
1983-04,2
1983-10,1
1984-04,2
1984-10,2
1985-04,4
1985-10,3
1986-04,4
1986-10,3
1987-04,4
1987-10,3
1988-04,4
1988-10,4
1989-04,4
1989-10,4
1990-04,4
1990-10,4
1991-04,4
1991-10,4
1992-04,4
1992-10,3
1993-04,3
1993-10,2
1994-04,3
1994-10,2
1995-04,2
1995-10,1
1996-04,4
1996-10,4
1997-04,4
1997-10,4
1998-04,4
1998-10,4
1999-04,4
1999-10,3
2000-04,4
2000-10,4
2001-04,4
2001-10,4
2002-04,4
2002-10,4
2003-04,4
2003-10,4
2004-04,4
2004-10,3
2005-04,3
2005-10,2
2006-04,4
2006-10,3
2007-04,4
2007-10,3
2008-04,4
2008-10,4
2009-04,4
2009-10,3
2010-04,4
2010-10,4
2011-04,4
2011-10,4
2012-04,4
2012-10,3
2013-04,4
2013-10,3
2014-04,4
2014-10,4
2015-04,4
2015-10,4
2016-04,4
2016-10,3
2017-04,4
2017-10,3
2018-04,4
2018-10,3
2019-04,3
2019-10,2
2020-04,2
2020-10,1
2021-04,2
2021-10,1
2022-04,1
2022-10,1
2023-04,1
2023-10,1
